Status,DAMS_ARK,New Predicate,Clean_Label (used for reconciliation can probably be deleted),Action,clustering label,clustering id,MARC_tag,Sample_Object_ARK,Object_Counts
original no match,http://library.ucsd.edu/ark:/20775/bb7510069m,dams:corporateName,Escuela Gloriz,,,,,http://library.ucsd.edu/dc/object/bb91138774,1
original no match,http://library.ucsd.edu/ark:/20775/bb6042480n,dams:corporateName,Escuela Nacional de Niñas,,,,,http://library.ucsd.edu/dc/object/bb00011696,36
original no match,http://library.ucsd.edu/ark:/20775/bb6213131c,dams:corporateName,Escuela Nacional Graduada de Niños de la Florida,,,,,http://library.ucsd.edu/dc/object/bb2083097n,6
original no match,http://library.ucsd.edu/ark:/20775/bb26977391,dams:corporateName,Escuela-Hogar,,,,,http://library.ucsd.edu/dc/object/bb2185486m,3
original no match,http://library.ucsd.edu/ark:/20775/bb37557714,dams:corporateName,Escuelas Nacionales,,,,,http://library.ucsd.edu/dc/object/bb5496097k,10
original matched FAST,http://library.ucsd.edu/ark:/20775/bb3175551z,dams:topic,Eskimos,FAST,Eskimos,http://id.worldcat.org/fast/915242,150,http://library.ucsd.edu/dc/object/bb6895299s,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb9182518n,dams:topic,Eskimos,FAST,Eskimos,http://id.worldcat.org/fast/915242,150,http://library.ucsd.edu/dc/object/bb0479367d,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb6008262s,dams:topic,Esperanto,FAST,Esperanto,http://id.worldcat.org/fast/915363,150,http://library.ucsd.edu/dc/object/bb48814064,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb47113233,dams:topic,Esperanto imprints,FAST,Esperanto imprints,http://id.worldcat.org/fast/915371,150,http://library.ucsd.edu/dc/object/bb48814064,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2731783x,dams:topic,"Espionage, Spanish",FAST,"Espionage, Spanish",http://id.worldcat.org/fast/915421,150,http://library.ucsd.edu/dc/object/bb8396796s,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb28001763,dams:geographic,Espiritu Santo,LoC,Espíritu Santo Island (Vanuatu),http://id.loc.gov/authorities/subjects/sh85044909,151,http://library.ucsd.edu/dc/object/bb2424409n,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb6690998n,dams:geographic,Espiritu Santo Island,LoC,Espíritu Santo Island (Vanuatu),http://id.loc.gov/authorities/subjects/sh85044909,151,http://library.ucsd.edu/dc/object/bb7782825c,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb04109411,dams:geographic,Espiritu Santo Island (Vanuatu),LoC,Espíritu Santo Island (Vanuatu),http://id.loc.gov/authorities/subjects/sh85044909,151,http://library.ucsd.edu/dc/object/bb0274002t,4
original no match,http://library.ucsd.edu/ark:/20775/bb1196100s,dams:personalName,"Esteban Franco, Matías",,,,,http://library.ucsd.edu/dc/object/bb7407252k,1
original no match,http://library.ucsd.edu/ark:/20775/bb7066371z,dams:personalName,"Esteban, Marcelo A.",,,,,http://library.ucsd.edu/dc/object/bb9762181x,8
original no match,http://library.ucsd.edu/ark:/20775/bb0137983m,dams:personalName,"Esterly, Calvin Oli, 1879-",,,,,http://library.ucsd.edu/dc/object/bb20147123,1
original no match,http://library.ucsd.edu/ark:/20775/bb8329101r,dams:geographic,Estero El Dátil,,,,,http://library.ucsd.edu/dc/object/bb7304638x,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb46093157,dams:geographic,Estes Park (Colo.),LoC,Estes Park (Colo.),http://id.loc.gov/authorities/names/n81007264,151,http://library.ucsd.edu/dc/object/bb58721284,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb86023362,dams:topic,ethics (concept),FAST,Ethics,http://id.worldcat.org/fast/915833,150,http://library.ucsd.edu/dc/object/bb5086946x,34
original no match,http://library.ucsd.edu/ark:/20775/bb2595955n,dams:topic,Ethnicity & politics,,,,,http://library.ucsd.edu/dc/object/bb9285436q,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb1230153b,dams:topic,Ethnoarchaeology,FAST,Ethnoarchaeology,http://id.worldcat.org/fast/916070,150,http://library.ucsd.edu/dc/object/bb41653353,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4745456b,dams:topic,Ethnoarchaeology,FAST,Ethnoarchaeology,http://id.worldcat.org/fast/916070,150,http://library.ucsd.edu/dc/object/bb7134402x,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb8670406w,dams:topic,Ethnobotany,FAST,Ethnobotany,http://id.worldcat.org/fast/916074,150,http://library.ucsd.edu/dc/object/bb18442480,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb99332172,dams:topic,Ethnobotany,FAST,Ethnobotany,http://id.worldcat.org/fast/916074,150,http://library.ucsd.edu/dc/object/bb18442480,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb0137908b,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb8670247f,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb08887661,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb10592585,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb1332456d,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb1195780x,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb1400719r,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb2629236d,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb15372369,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb97624060,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb1878536m,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb08886076,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2424684t,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb89089724,4
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb2527086r,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb6178576p,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb35512743,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb87390363,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb38580786,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb8090040m,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3892572c,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb03430542,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4609005d,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb49840219,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb47113275,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb7373309w,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4814086s,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb25615065,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb50526259,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb7987651m,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb54284254,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb0581961d,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb6008266v,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb25268460,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb63495665,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb08204951,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb67253646,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb0581961d,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb7066297k,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb6861356z,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb89775775,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb83289490,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb9284749p,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb0376657p,13
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb9626413q,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb3994962v,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb98308264,dams:topic,Ethnology,FAST,Ethnology,http://id.worldcat.org/fast/916106,150,http://library.ucsd.edu/dc/object/bb9284590j,4
original no match,http://library.ucsd.edu/ark:/20775/bb16737467,dams:personalName,"Eto, Silas, 1905-",VIAF,"Eto, Silas 1905-",http://viaf.org/viaf/59963460,,http://library.ucsd.edu/dc/object/bb74071922,21
original matched FAST,http://library.ucsd.edu/ark:/20775/bb26636587,dams:geographic,Etorofu-to,LoC,Iturup Island (Russia),http://id.loc.gov/authorities/subjects/sh98005312,151,http://library.ucsd.edu/dc/object/bb2390280m,3
original no match,http://library.ucsd.edu/ark:/20775/bb23564412,dams:personalName,"Etoubleau, Joel",,,,,http://library.ucsd.edu/dc/object/bb78510682,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb83291887,dams:topic,Eucalyptus,FAST,Eucalyptus,http://id.worldcat.org/fast/916344,150,http://library.ucsd.edu/dc/object/bb9386787r,1
original no match,http://library.ucsd.edu/ark:/20775/bb1810474g,dams:topic,eucharists,,,,,http://library.ucsd.edu/dc/object/bb31074149,1
original no match,http://library.ucsd.edu/ark:/20775/bb59742214,dams:corporateName,Eureka (Ship),Local,Eureka (Ship),,,http://library.ucsd.edu/dc/object/bb2151234g,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb0547543n,dams:corporateName,Europa (Ship),LoC,Europa (Ship : 1952-1976),http://id.loc.gov/authorities/names/no2016140234,110,http://library.ucsd.edu/dc/object/bb8772403h,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb2356350k,dams:geographic,Europe,LoC,Europe,http://id.loc.gov/authorities/subjects/sh85045631,151,http://library.ucsd.edu/dc/object/bb41646791,6
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb3516844w,dams:geographic,Europe,LoC,Europe,http://id.loc.gov/authorities/subjects/sh85045631,151,http://library.ucsd.edu/dc/object/bb0444739k,19
original matched FAST,http://library.ucsd.edu/ark:/20775/bb82958153,dams:geographic,Europe,LoC,Europe,http://id.loc.gov/authorities/subjects/sh85045631,151,http://library.ucsd.edu/dc/object/bb59067133,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb8431579g,dams:geographic,Europe,LoC,Europe,http://id.loc.gov/authorities/subjects/sh85045631,151,http://library.ucsd.edu/dc/object/bb51887576,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb7578408k,dams:geographic,Europe,LoC,Europe,http://id.loc.gov/authorities/subjects/sh85045631,151,http://library.ucsd.edu/dc/object/bb5496475c,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb73052041,dams:topic,Europeans,FAST,Europeans,http://id.worldcat.org/fast/916820,150,http://library.ucsd.edu/dc/object/bb7373309w,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb3858913r,dams:geographic,Europe--Carpathian Mountains Region,LoC,Carpathian Mountains,http://id.loc.gov/authorities/subjects/sh85020425,151,http://library.ucsd.edu/dc/object/bb6418664c,1
original no match,http://library.ucsd.edu/ark:/20775/bb5530523z,dams:personalName,"Evans, Martha W.",VIAF,"Evans, Martha W.",http://viaf.org/viaf/31827760,,http://library.ucsd.edu/dc/object/bb29361893,4
original no match,http://library.ucsd.edu/ark:/20775/bb40630185,dams:topic,evening,,,,,http://library.ucsd.edu/dc/object/bb5359993x,2
split from complex no match,http://library.ucsd.edu/ark:/20775/bb0513337j,not a subject,Events,Omit,,,,http://library.ucsd.edu/dc/object/bb2902208c,7709
split from complex no match,http://library.ucsd.edu/ark:/20775/bb61789131,not a subject,Events,Omit,,,,http://library.ucsd.edu/dc/object/bb6929610d,374
split from complex no match,http://library.ucsd.edu/ark:/20775/bb8772790n,dams:topic,Events,FAST,Special events,http://id.worldcat.org/fast/1128924,,http://library.ucsd.edu/dc/object/bb6929610d,374
split from complex no match,http://library.ucsd.edu/ark:/20775/bb93189916,not a subject,Events,Omit,,,,http://library.ucsd.edu/dc/object/bb3277703n,89
split from complex no match,http://library.ucsd.edu/ark:/20775/bb0615842v,not a subject,Events.,Omit,,,,http://library.ucsd.edu/dc/object/bb2253802v,24
original matched FAST,http://library.ucsd.edu/ark:/20775/bb4370103q,dams:personalName,"Evermann, Barton Warren, 1853-1932",VIAF,"Evermann, Barton Warren, 1853-1932",http://viaf.org/viaf/32130425,100,http://library.ucsd.edu/dc/object/bb85676728,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb60425934,dams:topic,Eviction,FAST,Eviction,http://id.worldcat.org/fast/917169,150,http://library.ucsd.edu/dc/object/bb9592114j,5
original matched FAST,http://library.ucsd.edu/ark:/20775/bb13326527,dams:topic,Evictions,FAST,Eviction,http://id.worldcat.org/fast/917169,150,http://library.ucsd.edu/dc/object/bb3926534t,5
original no match,http://library.ucsd.edu/ark:/20775/bb0138408h,dams:geographic,Ewasse (Papua New Guinea),,,,,http://library.ucsd.edu/dc/object/bb5496819b,5
original no match,http://library.ucsd.edu/ark:/20775/bb0172109q,dams:personalName,"Ewing, Gifford C.",VIAF,"Ewing, Gifford C.",http://viaf.org/viaf/283414553,,http://library.ucsd.edu/dc/object/bb36529494,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb65544148,dams:personalName,"Ewing, J. I. (John I.)",,,,100,http://library.ucsd.edu/dc/object/bb9966998z,6
original matched FAST,http://library.ucsd.edu/ark:/20775/bb9899167f,dams:personalName,"Ewing, W. Maurice (William Maurice), 1906-",VIAF,"Ewing, W. Maurice (William Maurice), 1906-1974",http://viaf.org/viaf/92872655,100,http://library.ucsd.edu/dc/object/bb4949892b,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb0820638k,dams:personalName,"Ewing, W. Maurice (William Maurice), 1906-1974",VIAF,"Ewing, W. Maurice (William Maurice), 1906-1974",http://viaf.org/viaf/92872655,100,http://library.ucsd.edu/dc/object/bb1775915b,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb5530522f,dams:personalName,"Ewing, W. Maurice (William Maurice), 1906-1974",VIAF,"Ewing, W. Maurice (William Maurice), 1906-1974",http://viaf.org/viaf/92872655,100,http://library.ucsd.edu/dc/object/bb6349216d,9
original matched FAST,http://library.ucsd.edu/ark:/20775/bb61448505,dams:genreForm,Examinations,FAST,Examinations,http://id.worldcat.org/fast/1423780,155,http://library.ucsd.edu/dc/object/bb04106803,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb8636365s,dams:topic,Excavations (Archaeology),FAST,Excavations (Archaeology),http://id.worldcat.org/fast/917564,150,http://library.ucsd.edu/dc/object/bb41653353,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb9899175w,dams:topic,Excavations (Archaeology),FAST,Excavations (Archaeology),http://id.worldcat.org/fast/917564,150,http://library.ucsd.edu/dc/object/bb4233646t,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb9933304g,dams:topic,Excavations (Archaeology),FAST,Excavations (Archaeology),http://id.worldcat.org/fast/917564,150,http://library.ucsd.edu/dc/object/bb41653353,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb14349805,dams:topic,Excavations (Archaeology),FAST,Excavations (Archaeology),http://id.worldcat.org/fast/917564,150,http://library.ucsd.edu/dc/object/bb8909117n,48
original matched FAST,http://library.ucsd.edu/ark:/20775/bb1093744w,dams:topic,excavations (earthworks),FAST,Excavation,http://id.worldcat.org/fast/917552,150,http://library.ucsd.edu/dc/object/bb75443137,1
original no match,http://library.ucsd.edu/ark:/20775/bb8499953s,dams:topic,excavators (heavy equipment),,,,,http://library.ucsd.edu/dc/object/bb75443137,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb2185767h,dams:genreForm,Exhibitions,FAST,Exhibitions,http://id.worldcat.org/fast/918097,150,http://library.ucsd.edu/dc/object/bb4301528t,7
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb33803402,dams:topic,Exhibitions,FAST,Art--Exhibitions,http://id.worldcat.org/fast/815239,150,http://library.ucsd.edu/dc/object/bb6793044q,2
original no match,http://library.ucsd.edu/ark:/20775/bb7168875f,dams:genreForm,exhibitions (events),AAT,exhibitions (events),http://vocab.getty.edu/aat/300054766,,http://library.ucsd.edu/dc/object/bb8465815n,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb32780290,dams:topic,Exiles,FAST,Exiles,http://id.worldcat.org/fast/918139,150,http://library.ucsd.edu/dc/object/bb6110371m,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5018497s,dams:topic,Exiles,FAST,Exiles,http://id.worldcat.org/fast/918139,150,http://library.ucsd.edu/dc/object/bb8738098m,1
original no match,http://library.ucsd.edu/ark:/20775/bb21176389,dams:topic,exits,AAT,exits,http://vocab.getty.edu/aat/300002779,,http://library.ucsd.edu/dc/object/bb60084568,1
original no match,http://library.ucsd.edu/ark:/20775/bb97285978,dams:genreForm,Expedition reports,Local,Expedition reports,,,http://library.ucsd.edu/dc/object/bb6179079d,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb6281383j,dams:topic,Expeditions,FAST,Scientific expeditions,http://id.worldcat.org/fast/1108847,150,http://library.ucsd.edu/dc/object/bb2014715n,1
original no match,http://library.ucsd.edu/ark:/20775/bb17762782,dams:corporateName,Expeditions & surveys,FAST,Scientific expeditions,http://id.worldcat.org/fast/1108847,,http://library.ucsd.edu/dc/object/bb87725490,10
original matched FAST,http://library.ucsd.edu/ark:/20775/bb3755822p,dams:genreForm,Experimental films,FAST,Experimental films,http://id.worldcat.org/fast/1710354,155,http://library.ucsd.edu/dc/object/bb93190106,11
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5120968h,dams:topic,Experiments,FAST,Water--Experiments,http://id.worldcat.org/fast/1171210,150,http://library.ucsd.edu/dc/object/bb5973796x,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb3175464j,dams:topic,Exploration,Omit,,,,http://library.ucsd.edu/dc/object/bb90103229,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb7407677x,dams:corporateName,Explorer (Ship),FAST,Explorer (Ship),http://id.worldcat.org/fast/1781743,110,http://library.ucsd.edu/dc/object/bb92161364,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb7134637v,dams:topic,Explosions,FAST,Explosions,http://id.worldcat.org/fast/918584,150,http://library.ucsd.edu/dc/object/bb6554130t,7
original matched FAST,http://library.ucsd.edu/ark:/20775/bb8806995g,dams:topic,Explosives,FAST,Explosives,http://id.worldcat.org/fast/918611,150,http://library.ucsd.edu/dc/object/bb9728096h,31
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb11277557,dams:topic,Express highways,FAST,Express highways,http://id.worldcat.org/fast/918809,150,http://library.ucsd.edu/dc/object/bb17757828,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb75441826,dams:topic,Express highways,FAST,Express highways,http://id.worldcat.org/fast/918809,150,http://library.ucsd.edu/dc/object/bb3072727x,2
original matched FAST,http://library.ucsd.edu/ark:/20775/bb3550972s,dams:topic,Exterior walls,FAST,Exterior walls,http://id.worldcat.org/fast/918928,150,http://library.ucsd.edu/dc/object/bb3175117b,15
original matched FAST,http://library.ucsd.edu/ark:/20775/bb3516974s,dams:topic,Extraterrestrial beings,FAST,Extraterrestrial beings,http://id.worldcat.org/fast/1742248,150,http://library.ucsd.edu/dc/object/bb48139140,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb8056150h,dams:topic,Eye,FAST,Eye,http://id.worldcat.org/fast/919113,150,http://library.ucsd.edu/dc/object/bb2526794x,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb9933291t,dams:topic,Eye,FAST,Eye,http://id.worldcat.org/fast/919113,150,http://library.ucsd.edu/dc/object/bb07860305,2
original matched FAST,http://library.ucsd.edu/ark:/20775/bb11619864,dams:topic,Eye movements,FAST,Eye--Movements,http://id.worldcat.org/fast/919174,150,http://library.ucsd.edu/dc/object/bb26637088,16
original matched FAST,http://library.ucsd.edu/ark:/20775/bb24589263,dams:topic,Eye tracking,FAST,Eye tracking,http://id.worldcat.org/fast/1909533,150,http://library.ucsd.edu/dc/object/bb95920960,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb54622724,dams:topic,Eye--Care and hygiene,FAST,Eye--Care and hygiene,http://id.worldcat.org/fast/919126,150,http://library.ucsd.edu/dc/object/bb2526794x,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb9796877g,dams:topic,Eye-tracking,FAST,Eye tracking,http://id.worldcat.org/fast/1909533,150,http://library.ucsd.edu/dc/object/bb26637088,15
original no match,http://library.ucsd.edu/ark:/20775/bb57352906,dams:personalName,F. Richard Moore,,,,,http://library.ucsd.edu/dc/object/bb6895378r,9
original matched FAST,http://library.ucsd.edu/ark:/20775/bb6247176p,dams:corporateName,F.A.I. (Organization : Spain),VIAF,Federación Anarquista Ibérica (FAI),http://viaf.org/viaf/140214531,110,http://library.ucsd.edu/dc/object/bb1912669n,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb86362728,dams:corporateName,F.A.I. (Organization:Spain),Local,Federación Anarquista Ibérica (FAI),http://viaf.org/viaf/140214531,110,http://library.ucsd.edu/dc/object/bb6485770n,12
original no match,http://library.ucsd.edu/ark:/20775/bb4779652z,dams:personalName,F.F. Lee,,,,,http://library.ucsd.edu/dc/object/bb5291268s,1
original matched FAST,http://library.ucsd.edu/ark:/20775/bb76466986,dams:topic,façades,FAST,Facades,http://id.worldcat.org/fast/919514,150,http://library.ucsd.edu/dc/object/bb66910583,7
original no match,http://library.ucsd.edu/ark:/20775/bb18787261,dams:topic,faces,,,,,http://library.ucsd.edu/dc/object/bb34828363,22
split from complex no match,http://library.ucsd.edu/ark:/20775/bb6144868s,dams:topic,Facilities,Local,,,,http://library.ucsd.edu/dc/object/bb4949893v,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb6281307r,dams:genreForm,Facsimiles,FAST,Facsimiles,http://id.worldcat.org/fast/1411642,155,http://library.ucsd.edu/dc/object/bb8738098m,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb79878076,dams:genreForm,Facsimiles,FAST,Facsimiles,http://id.worldcat.org/fast/1411642,155,http://library.ucsd.edu/dc/object/bb8738098m,2
original matched FAST,http://library.ucsd.edu/ark:/20775/bb1605570v,dams:topic,Factories,FAST,Factories,http://id.worldcat.org/fast/919645,150,http://library.ucsd.edu/dc/object/bb2458506b,6
original matched FAST,http://library.ucsd.edu/ark:/20775/bb2014964f,dams:genreForm,Factual films,FAST,Documentary films,http://id.worldcat.org/fast/1710390,155,http://library.ucsd.edu/dc/object/bb2561044t,43
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb05815865,dams:topic,Faculty,FAST,Universities and colleges--Faculty,http://id.worldcat.org/fast/1161748,150,http://library.ucsd.edu/dc/object/bb4301427v,48
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb19468637,dams:topic,Faculty,FAST,Universities and colleges--Faculty,http://id.worldcat.org/fast/1161748,150,http://library.ucsd.edu/dc/object/bb9762182f,1495
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb39946694,dams:topic,Faculty,FAST,Universities and colleges--Faculty,http://id.worldcat.org/fast/1161748,150,http://library.ucsd.edu/dc/object/bb1912322r,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb40629288,dams:topic,Faculty,FAST,Universities and colleges--Faculty,http://id.worldcat.org/fast/1161748,150,http://library.ucsd.edu/dc/object/bb11614192,3
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb48820502,dams:topic,Faculty,FAST,Universities and colleges--Faculty,http://id.worldcat.org/fast/1161748,150,http://library.ucsd.edu/dc/object/bb3038606z,4
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb5155080h,dams:topic,Faculty,FAST,Universities and colleges--Faculty,http://id.worldcat.org/fast/1161748,150,http://library.ucsd.edu/dc/object/bb2902067v,1520
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb68956364,dams:topic,Faculty,FAST,Universities and colleges--Faculty,http://id.worldcat.org/fast/1161748,150,http://library.ucsd.edu/dc/object/bb5734889n,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb82267827,dams:topic,Faculty,FAST,Universities and colleges--Faculty,http://id.worldcat.org/fast/1161748,150,http://library.ucsd.edu/dc/object/bb97963447,35
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb88410460,dams:topic,Faculty,FAST,Universities and colleges--Faculty,http://id.worldcat.org/fast/1161748,150,http://library.ucsd.edu/dc/object/bb4710991q,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb97967001,dams:topic,Faculty,FAST,Universities and colleges--Faculty,http://id.worldcat.org/fast/1161748,150,http://library.ucsd.edu/dc/object/bb3107206z,4
original no match,http://library.ucsd.edu/ark:/20775/bb8602278k,dams:geographic,Fagaloa Bay,LoC,Pago Pago Harbor (American Samoa),http://id.loc.gov/authorities/subjects/sh2006004057,,http://library.ucsd.edu/dc/object/bb48817739,1
original no match,http://library.ucsd.edu/ark:/20775/bb3175543h,dams:personalName,"Fager, Edward W.",Local,"Fager, Edward W., 1917-1976",local-fage-1,,http://library.ucsd.edu/dc/object/bb3960249k,2
original no match,http://library.ucsd.edu/ark:/20775/bb3994675j,dams:personalName,"Fager, Edward W., 1917-1976",Local,"Fager, Edward W., 1917-1976",local-fage-1,,http://library.ucsd.edu/dc/object/bb5700738g,2
original matched FAST,http://library.ucsd.edu/ark:/20775/bb7441859x,dams:personalName,"Fairbridge, Rhodes Whitmore, 1914-",VIAF,"Fairbridge, Rhodes Whitmore, 1914-",http://viaf.org/viaf/39376704,100,http://library.ucsd.edu/dc/object/bb15028798,2
original no match,http://library.ucsd.edu/ark:/20775/bb52916651,dams:geographic,Fakaofo Atoll,,,,,http://library.ucsd.edu/dc/object/bb62811049,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4472417s,dams:corporateName,Falange Española de las Juntas Ofensivas Nacional-Sindicalistas,VIAF,Falange Española Tradicionalista y de las Juntas Ofensivas Nacional-Sindicalistas,http://viaf.org/viaf/147093871,110,http://library.ucsd.edu/dc/object/bb42329368,1
