Status,DAMS_ARK,New Predicate,Clean_Label (used for reconciliation can probably be deleted),Action,clustering label,clustering id,MARC_tag,Sample_Object_ARK,Object_Counts
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb11959350,dams:topic,1931-1939,FAST,Civil War (Spain : 1936-1939),http://id.worldcat.org/fast/1352321,148,http://library.ucsd.edu/dc/object/bb1912096v,2
original no match,http://library.ucsd.edu/ark:/20775/bb5394773h,dams:temporal,1933-1941,Local,1933-1941,,,http://library.ucsd.edu/dc/object/bb66917147,1
original no match,http://library.ucsd.edu/ark:/20775/bb14356938,dams:temporal,1933-1943,Local,1933-1943,,,http://library.ucsd.edu/dc/object/bb5292384j,5
original no match,http://library.ucsd.edu/ark:/20775/bb33469637,dams:temporal,1933-1945,Local,1933-1945,,,http://library.ucsd.edu/dc/object/bb59067133,4
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb87386659,dams:topic,1936-1939,FAST,Civil War (Spain : 1936-1939),http://id.worldcat.org/fast/1352321,111,http://library.ucsd.edu/dc/object/bb1331885q,1
original no match,http://library.ucsd.edu/ark:/20775/bb9455558q,dams:temporal,1936-1939,Local,1936 - 1939,,,http://library.ucsd.edu/dc/object/bb2629061c,2
original no match,http://library.ucsd.edu/ark:/20775/bb76132164,dams:temporal,1938-1945,Local,1938-1945,,,http://library.ucsd.edu/dc/object/bb30398026,2
original no match,http://library.ucsd.edu/ark:/20775/bb1265034n,dams:temporal,1939-1945,Local,1939-1945,,,http://library.ucsd.edu/dc/object/bb6418664c,15
split from complex no match,http://library.ucsd.edu/ark:/20775/bb5564738q,not a subject,1939-1975,Omit,,,,http://library.ucsd.edu/dc/object/bb03424062,24
original no match,http://library.ucsd.edu/ark:/20775/bb1265036p,dams:temporal,1939-2000,Local,1939-2000,,,http://library.ucsd.edu/dc/object/bb0548317s,2
original no match,http://library.ucsd.edu/ark:/20775/bb89101666,dams:temporal,1940-1943,Local,1940-1943,,,http://library.ucsd.edu/dc/object/bb4063704r,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb74417291,not a subject,1940-1949,Omit,,,,http://library.ucsd.edu/dc/object/bb7509979g,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb4984505n,not a subject,1940-1949,Omit,,,,http://library.ucsd.edu/dc/object/bb80562033,1
original no match,http://library.ucsd.edu/ark:/20775/bb71688183,dams:temporal,1940-1950,Local,1940-1950,,,http://library.ucsd.edu/dc/object/bb8124087h,708
original no match,http://library.ucsd.edu/ark:/20775/bb0309403w,dams:topic,1941-1944,FAST,German Occupation of Lithuania (1941-1944),http://id.worldcat.org/fast/1353180,111,http://library.ucsd.edu/dc/object/bb6759973n,1
original no match,http://library.ucsd.edu/ark:/20775/bb4097833x,dams:temporal,1941-2000,Local,1941-2000,,,http://library.ucsd.edu/dc/object/bb66917147,1
original no match,http://library.ucsd.edu/ark:/20775/bb10602647,dams:temporal,1942-1944,Local,1942-1944,,,http://library.ucsd.edu/dc/object/bb6213894z,1
original no match,http://library.ucsd.edu/ark:/20775/bb55654158,dams:temporal,1944-1945,Local,1944-1945,,,http://library.ucsd.edu/dc/object/bb43708737,4
split from complex no match,http://library.ucsd.edu/ark:/20775/bb8090187m,not a subject,1945-,Omit,,,,http://library.ucsd.edu/dc/object/bb2868310k,16
original no match,http://library.ucsd.edu/ark:/20775/bb3176315m,dams:temporal,1945-1947,Local,1945-1947,,,http://library.ucsd.edu/dc/object/bb22206761,1
original no match,http://library.ucsd.edu/ark:/20775/bb33810933,dams:temporal,1945-1949,Local,1945-1949,,,http://library.ucsd.edu/dc/object/bb8568852m,5
original no match,http://library.ucsd.edu/ark:/20775/bb60765174,dams:temporal,1945-1955,Local,1945-1955,,,http://library.ucsd.edu/dc/object/bb7203653j,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb7373455p,dams:topic,1945-1955,FAST,Cold War (1945-1989),http://id.worldcat.org/fast/1754978,,http://library.ucsd.edu/dc/object/bb8532501q,1
original no match,http://library.ucsd.edu/ark:/20775/bb1401556n,dams:temporal,1945-1960,Local,1945-1960,,,http://library.ucsd.edu/dc/object/bb7647355s,2
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb0615713g,dams:topic,1945-1989,FAST,Cold War (1945-1989),http://id.worldcat.org/fast/1754978,111,http://library.ucsd.edu/dc/object/bb3720172r,1
original no match,http://library.ucsd.edu/ark:/20775/bb5667805r,dams:temporal,1945-2000,Local,1945-2000,,,http://library.ucsd.edu/dc/object/bb9524494x,1
original no match,http://library.ucsd.edu/ark:/20775/bb4268485j,dams:temporal,1945-2012,Local,1945-2012,,,http://library.ucsd.edu/dc/object/bb94562426,1
original no match,http://library.ucsd.edu/ark:/20775/bb6316275d,dams:temporal,1945-2015,Local,1945-2015,,,http://library.ucsd.edu/dc/object/bb59067133,2
original no match,http://library.ucsd.edu/ark:/20775/bb8944294v,dams:temporal,1946-1947,Local,1946-1947,,,http://library.ucsd.edu/dc/object/bb2835024d,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb36192548,not a subject,1948-1994,Omit,,,,http://library.ucsd.edu/dc/object/bb9079756m,1
original no match,http://library.ucsd.edu/ark:/20775/bb7647353r,dams:temporal,1948-2000,Local,1948-2000,,,http://library.ucsd.edu/dc/object/bb2835024d,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb0513420w,not a subject,1949-1976,Omit,,,,http://library.ucsd.edu/dc/object/bb6622397m,3
split from complex no match,http://library.ucsd.edu/ark:/20775/bb6383783h,dams:topic,1949-1976,FAST,Cultural Revolution (China : 1966-1976),http://id.worldcat.org/fast/1352662,,http://library.ucsd.edu/dc/object/bb8260634f,7
original no match,http://library.ucsd.edu/ark:/20775/bb7988647n,dams:temporal,1949-2015,Local,1949-2015,,,http://library.ucsd.edu/dc/object/bb1879375j,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb61447889,not a subject,1950-1959,Omit,,,,http://library.ucsd.edu/dc/object/bb7509979g,1
original no match,http://library.ucsd.edu/ark:/20775/bb01039092,dams:temporal,1950-1960,Local,1950-1960,,,http://library.ucsd.edu/dc/object/bb8124087h,360
original no match,http://library.ucsd.edu/ark:/20775/bb9968186p,dams:temporal,1950-2013,Local,1950-2013,,,http://library.ucsd.edu/dc/object/bb0548317s,2
split from complex no match,http://library.ucsd.edu/ark:/20775/bb5189135x,dams:topic,1955-1965,FAST,Cold War (1945-1989),http://id.worldcat.org/fast/1754978,,http://library.ucsd.edu/dc/object/bb6757742z,2
split from complex no match,http://library.ucsd.edu/ark:/20775/bb6622693w,dams:topic,1960-1969,FAST,Cultural Revolution (China : 1966-1976),http://id.worldcat.org/fast/1352662,,http://library.ucsd.edu/dc/object/bb7680427f,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb7919631t,dams:topic,1960-1969,FAST,Cultural Revolution (China : 1966-1976),http://id.worldcat.org/fast/1352662,,http://library.ucsd.edu/dc/object/bb7680427f,1
original no match,http://library.ucsd.edu/ark:/20775/bb07865083,dams:temporal,1960-1970,Local,1960-1970,,,http://library.ucsd.edu/dc/object/bb8670159h,264
split from complex no match,http://library.ucsd.edu/ark:/20775/bb8806928n,not a subject,1961-,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
original no match,http://library.ucsd.edu/ark:/20775/bb3585167h,dams:temporal,1970-1980,Local,1970-1980,,,http://library.ucsd.edu/dc/object/bb36871885,24
split from complex no match,http://library.ucsd.edu/ark:/20775/bb7476020f,not a subject,1975-1982,Omit,,,,http://library.ucsd.edu/dc/object/bb3653012f,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb44041451,not a subject,1980-1989,Omit,,,150,http://library.ucsd.edu/dc/object/bb4028389z,11
original no match,http://library.ucsd.edu/ark:/20775/bb50186326,dams:temporal,1980-1990,Local,1980-1990,,,http://library.ucsd.edu/dc/object/bb60421470,10
split from complex no match,http://library.ucsd.edu/ark:/20775/bb7851287d,not a subject,1985-,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb3960469f,not a subject,1986-,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb6554347t,not a subject,1988-,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb9114098f,not a subject,1988-,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb0854640q,not a subject,1988-2000,Omit,,,,http://library.ucsd.edu/dc/object/bb9387084g,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb0069648j,not a subject,1989-,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb26635316,not a subject,1990-,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex no match,http://library.ucsd.edu/ark:/20775/bb5257408r,not a subject,1990-,Omit,,,,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb04109495,not a subject,1990-1999,Omit,,,150,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb4301768n,not a subject,1990-1999,Omit,,,150,http://library.ucsd.edu/dc/object/bb4506543z,1
split from complex matched FAST,http://library.ucsd.edu/ark:/20775/bb6929767w,not a subject,1990-1999,Omit,,,150,http://library.ucsd.edu/dc/object/bb66222713,24
